"","#0F4A9C","#53f1fc","#635547","#67000d","#7F6874","#8870ad","#90BF75","#9e6762","#C594BF","#DABE99","#DFCDE4","#EF5A9D","#cc7818","#d6616b","#ffad1e","#ffd854"
"Pcyox1",10,1,68,5,28,13,46,4,66,43,17,37,33,14,4,46
"Pcyox1l",0,5,23,2,6,2,16,3,21,7,7,7,5,4,5,21
"Pcyt1a",5,5,35,1,13,9,19,2,79,25,11,20,20,9,4,15
"Pcyt1b",1,3,20,0,0,6,16,1,10,14,2,3,7,0,0,2
"Pdap1",71,52,767,38,41,178,385,55,1083,397,226,231,267,66,31,231
"Pdc",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Pdcd1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pdcd10",14,8,92,7,14,43,62,4,195,73,39,34,49,24,4,82
"Pdcd1lg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pdcd2",16,10,135,9,16,34,91,15,166,81,38,44,46,19,8,73
"Pdcd2l",15,7,92,7,15,25,69,4,114,33,19,28,27,15,8,44
"Pdcd4",50,15,103,0,19,15,101,17,134,75,35,60,25,4,0,17
"Pdcd5",9,8,100,13,8,49,86,8,176,55,45,30,77,43,4,71
"Pdcd6",47,19,182,37,27,91,170,22,357,132,74,98,124,51,29,295
"Pdcd6ip",30,32,134,37,40,61,113,17,300,89,77,85,89,70,16,122
"Pdcd7",7,3,51,3,3,18,48,9,91,39,22,15,15,9,1,29
"Pdcl",17,9,82,1,6,27,69,4,143,49,25,29,32,6,5,32
"Pdcl2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pdcl3",27,12,94,7,21,43,86,9,219,74,50,41,59,14,11,71
"Pddc1",9,6,32,4,6,14,27,4,68,13,18,10,14,3,1,13
"Pde10a",0,0,2,2,0,1,3,2,5,1,4,0,0,1,0,0
"Pde11a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pde1a",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pde1b",2,0,3,0,0,0,5,0,0,2,1,1,1,0,0,0
"Pde2a",0,2,4,0,0,0,2,1,7,2,2,1,2,0,0,0
"Pde3a",0,0,1,0,1,0,0,0,1,0,0,2,1,0,0,0
"Pde3b",1,4,62,0,1,15,28,4,64,17,8,12,11,1,0,0
"Pde4a",0,1,6,0,0,6,3,0,14,6,2,2,10,0,0,1
"Pde4b",3,1,27,0,0,2,19,3,12,12,1,3,2,0,0,0
"Pde4c",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"Pde4d",0,1,8,0,0,1,4,0,9,5,6,11,3,0,0,0
"Pde5a",6,6,58,0,0,7,16,4,85,24,14,15,16,0,0,0
"Pde6b",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Pde6c",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Pde6d",11,4,46,2,2,6,40,5,64,30,10,6,15,6,2,19
"Pde6g",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
